all	all
ajd	and
flj	boy
daf	car
daf	cat
daj	day
djd	end
fajklj	family
jljd	home
kf	it
jaj	man
jajd	name
ljd	one
;dl;ld	people
fdad	read
sdjlll	school
s;dak	speak
fjd	the
fjks	this
jlj	you
ask	ask
fllk	book
daj	can
dlf	dog
djd	eye
fkfsf	first
fl	go
jd	he
djkld	child
kj	in
ldafj	learn
jlfjkjf	morning
l;dj	open
;laj	play
ajdsfklj	question
fllj	room
saj	say
sfaff	start
fldaj	today
slfd	word
afljf	about
af	at
fflfjdf	brother
dfkjk	drink
dasj	easy
fafjdf	father
fkfl	girl
jdl;	help
djakf	chair
kjls	know
jj	my
jds	new
;a;df	paper
;ldasd	please
fkdj	rich
sjd	she
sjls	show
slj	son
fjdj	they
sjaf	what
alsajs	always
fd	be
fldj	body
dafdfjl	careful
dfj	cry
dllf	door
dfdfjfjkjf	everything
fadd	face
jdf	her
kf	if
jajj	many
jl	no
;dj	pen
;ladd	place
flad	road
sfl;	stop
sfjddjf	student
fsl	two
sajf	want
sjdfd	where
ajssdf	answer
fdfsddj	between
dldaf	clear
dljjffj	country
dajdd	dance
dl	do
dadj	each
ffkdjd	friend
jks	his
jlf	job
lkfd	life
jlfd	more
;afk	park
;dfslj	person
fdadj	ready
sddljd	second
sllj	soon
fjaf	that
sd	we
sjj	why
afld	able
fdflfd	before
fjf	but
dldaj	clean
dllsd	close
dfdaj	dream
dkfjf	eight
flf	for
jajd	hand
kjskdd	inside
jls	now
lf	or
;kdfjfd	picture
fkfdf	river
sjk;	ship
sjl;	shop
skf	sit
fafld	table
fdfj	very
sfkfd	write
akf	air
fladk	black
dkjdja	cinema
dajfjfdf	daughter
daf	eat
fflj	from
flld	good
jdad	head
djddsd	cheese
kj;lffajf	important
lajd	land
jljdj	money
;aj	pay
;flfldj	problem
fjj	run
sajd	same
sdd	see
sdjd	send
fjkjf	thing
slfk	work
ajj	any
as	as
fdffdf	better
dlld	cold
dljd	come
dldflf	doctor
fkjd	find
fajd	game
kdda	idea
kkjd	kind
lkfd (f)	live (v)
jakd	make
;dadd	peace
;l;jlaf	popular
fkfjf	right
sjall	small
sl	so
sljd	some
fjdfd	there
sakf	wait
afakj	again
fadk	back
dljld	could
dldjjdjf	document
dff	egg
fkfd	fire
fkfd	give
djajdd	chance
kjflfjafklj	information
lkfjf	light
jaj	may
lffdj	often
;fdfdf	prefer
;jf	put
fdd	red
sfljd	stone
sjdj	such
fjkjk	think
jjddfsfajd	understand
fkskf	visit
afljjd	around
fdsf	best
dall	call
djf	cut
dkjjdf	dinner
dlsj	down
ds;lakj	explain
fdf	get
kjfdfdsfkjf	interesting
lljf	long
jlfd	move
ljf	out
;afd	page
fdadj	reach
fdsf	rest
sdf	set
sjljld	should
sfajd	stand
fkjd	time
j;	up
afd	age
fddajsd	because
fkf	big
dajdfa	camera
dkfj	city
dfdss	dress
dfdjkjf	evening
ffdd	free
jafd	have
kll	ill
lkkd	like
jlfjdf	mother
lld	old
;llkdd	police
fdjdjfdf	remember
sffddf	street
sfjdj	study
fdadjdf	teacher
flkdd	voice
safdf	water
alsl	also
fls	box
dlass	class
dkffkdjlf	difficult
dfkfd	drive
flld	food
ffdaf	great
ja;;j	happy
djajfd	change
jjkdd	juice
jddf	meet
jddd	need
;fdffj	pretty
ajkfd	quite
fdal	real
sad	sad
s;fkjf	spring
sfaf	star
fakd	take
jds	yes
adfklj	action
alljd	alone
ffdakfasf	breakfast
dljfkjjd	continue
ddad	dead
djjlj	enjoy
fjll	full
fafddj	garden
jljsd	house
jljfjdj	journey
jjdj	much
jlfjkjf	nothing
;jljd	phone
;fkdd	price
fdsjlf	result
sksfdf	sister
sjj	sun
fdll	tell
fkds	view
skfj	with
afakjsf	against
fjs	bus
dlj;ajj	company
ddsdff (j)	desert (n)
ds;djskfd	expensive
fllsdf	flower
ffddj	green
djjfdj	church
